dificultad,N_mercados,N_observaciones,MAE_medio,RMSE_medio,MAPE_medio
Dificultad media,4,21753,67.9347128960161,102.21346176195034,27.70586975639308
Difícil de predecir,5,22882,80.20442185433964,125.90941472815989,28.822994860693722
Fácil de predecir,4,27708,62.69184056285805,102.09443816751238,25.82331663659219
