dificultad,N_rutas_mercado,N_observaciones,MAE_medio,RMSE_medio,MAPE_medio
Difícil de predecir,38,38562,82.95574053956065,122.64242008683773,30.94835851475324
Fácil de predecir,38,33781,57.26421580148119,91.36583217434122,25.579956705761767
