dificultad,N_aeropuertos,N_observaciones,MAE_medio,RMSE_medio,MAPE_medio
Dificultad media,5,22643.0,68.42636033078705,104.46742572264937,27.012005344785372
Difícil de predecir,6,23923.0,85.23299273296148,135.22334645790144,29.291505007058543
Fácil de predecir,5,25777.0,61.78798892803259,100.30012341011867,25.102219238075396
