route_key,isBasicEconomy_num,route_avg_price_30_hist,seatsRemaining,travelDuration_mins,flight_dayofweek,totalTravelDistance,route_avg_price_hist,dot_avg_fare,days_to_departure,isNonStop_num,market_share_route,route_std_price_hist,capacity_pressure,price_urgency,has_business_segment,elapsedDays,duration_per_mile,passengers_route,market_pressure,other_carriers_share,is_multi_airline,low_fare_carrier_share,route_avg_price_lag_1w
ATL_BOS,0.0,302.5506666666667,7.0,315.0,3.0,947.0,309.1042963174422,254.7473106,28.0,0.0,0.7392168471,127.70127181989922,0.21951219512195122,10.496486225930441,0.0,0.0,0.3206751054852321,2570.434783,14961671.087929288,0.15887178619999998,1.0,0.1019113667,305.0875501074337
ATL_CLT,0.0,303.80016666666666,7.0,228.0,3.0,868.0,308.6858094231569,269.2683644,20.0,0.0,0.621653085,112.86736709307081,0.26120857699805067,14.70913974276667,0.0,0.0,0.3366693354683747,373.4782609,1959354.2797833583,0.006693829999999956,1.0,0.371653085,303.5965579868311
ATL_DEN,0.0,348.071,6.0,349.0,3.0,1375.0,381.3915693069307,247.1573387,28.0,0.0,0.45845413,144.26996899078534,0.1875,12.070795643052652,0.0,0.0,0.22819767441860464,2212.065217,8129046.375757007,0.3438160287,1.0,0.1977298413,347.2628816165838
ATL_DFW,0.0,257.393,7.0,141.0,3.0,725.0,271.3381193693694,204.1300086,28.0,1.0,0.3865149164,108.61504789532238,0.19444444444444445,8.771412981540196,0.0,0.0,0.19421487603305784,3151.630435,11386867.63890743,0.415657872,0.0,0.1978272116,254.20399652274705
ATL_DTW,0.0,286.67650000000003,7.0,305.0,3.0,893.5,298.49261861773977,204.7422057,23.0,0.0,0.5651605232,147.20933677707768,0.2,12.118245871126229,0.0,0.0,0.30381471389645776,1828.26087,8006119.5284798425,0.10796670629999999,1.0,0.3268727705,289.9816446433119
ATL_EWR,0.0,222.98333333333332,7.0,238.0,3.0,762.0,232.17205621301775,194.0390094,28.0,0.0,0.4887382822,106.65879514499422,0.175,8.19353652244953,0.0,0.0,0.245014245014245,8580.434783,35790219.23945267,0.4098302509000001,1.0,0.1014314669,238.7097823250639
ATL_IAD,0.0,246.46900000000002,7.0,121.0,3.0,541.0,262.87652482269505,183.5459718,29.0,1.0,0.4666925839,139.2822679378135,0.2,8.351852270410884,0.0,0.0,0.21033210332103322,4753.152174,17122939.43411307,0.2774588945,0.0,0.2558485216,248.00010997732423
ATL_JFK,0.0,291.05699999999996,7.0,236.0,3.0,762.0,300.31041499330655,194.0390094,28.0,0.0,0.4887382822,144.37945085060434,0.22580645161290322,8.189376308880982,0.0,0.0,0.2392086330935252,8580.434783,35790219.23945267,0.4098302509000001,1.0,0.1014314669,238.9161616176876
ATL_LAX,0.0,422.16150000000005,7.0,459.0,3.0,2034.0,449.14649641720655,380.4446161,28.0,0.0,0.6230806219,125.80598479061284,0.1794871794871795,14.512921274965944,0.0,0.0,0.20953326713008938,3390.76087,15859989.16534127,0.2535662766,1.0,0.1233531015,418.8260140769117
ATL_LGA,0.0,206.94933333333336,7.0,252.0,3.0,762.0,217.9893048314216,194.0390094,29.0,0.0,0.4887382822,93.388320701266,0.2,7.895393739187682,0.0,0.0,0.2739564961787184,8580.434783,35790219.23945267,0.4098302509000001,1.0,0.1014314669,236.28440732862205
ATL_MIA,0.0,252.54533333333336,7.0,133.0,3.0,596.0,262.34530963302757,173.7180591,27.0,1.0,0.4784198258,161.39046269211738,0.2,8.942650073602842,0.0,0.0,0.21424745581146223,4429.891304,16964138.0074557,0.3557600294,0.0,0.1658201448,255.75436686212944
ATL_OAK,0.0,542.9078333333334,5.0,722.0,3.0,2412.0,586.5130677718641,401.4085105,30.0,0.0,0.6494467239,226.28524938440273,0.16666666666666666,16.68907848299111,0.0,0.0,0.284164919956328,1748.478261,8602796.248423195,0.24157652609999997,1.0,0.10897675,527.3608869692787
ATL_ORD,0.0,242.67133333333334,7.0,322.0,3.0,844.0,258.07014113408525,195.9463204,24.0,0.0,0.3479151426,119.01737629970796,0.19444444444444445,9.589629629629629,0.0,0.0,0.2632042253521127,3714.673913,12596433.223929994,0.3782297001,1.0,0.2738551573,239.80914828047636
ATL_PHL,0.0,250.28516666666667,5.0,270.0,3.0,677.0,273.6748915356301,191.5789896,28.0,0.0,0.4132535665,149.62005885632485,0.17391304347826086,8.92717604490356,0.0,0.0,0.26905573760812446,2125.76087,7508495.847454996,0.36513780230000004,1.0,0.2216086312,250.26101224489796
ATL_SFO,0.0,491.4601666666667,7.0,545.0,3.0,2332.0,539.9701368915613,401.4085105,26.0,0.0,0.6494467239,169.34674529895878,0.21951219512195122,19.161571735100047,0.0,0.0,0.2109586758259384,1748.478261,8602796.248423195,0.24157652609999997,1.0,0.10897675,523.3768433108618
BOS_CLT,0.0,214.18866666666665,7.0,279.0,3.0,730.0,213.04983677910772,205.877856,27.0,0.0,0.5958124158,101.7818065919898,0.1956521739130435,7.605689139774572,0.0,0.0,0.3583106267029973,1775.434783,7764562.71668702,0.2202155014,1.0,0.1839720828,214.17751091474375
BOS_DEN,0.0,383.9483333333334,7.0,435.0,3.0,1806.0,409.1961488420908,328.6002687,29.0,0.0,0.4124339335,136.3330562739484,0.2,12.740590046463053,0.0,0.0,0.2219147758716104,2426.73913,8689806.190535149,0.3814386814,1.0,0.2061273851,385.67484960803534
BOS_DFW,0.0,297.11800000000005,7.0,406.0,3.0,1570.0,303.36735227639656,295.9351154,27.0,0.0,0.5818865128,116.40699288140509,0.20689655172413793,10.776832154103513,0.0,0.0,0.24805738194859533,2053.478261,9038938.152020067,0.29324581829999996,1.0,0.1248676689,296.7562799829102
BOS_DTW,0.0,254.66,7.0,315.0,3.0,670.0,263.7296326905418,225.0975651,28.0,0.0,0.635813916,103.97271347556763,0.175,8.705988282828283,0.0,0.0,0.3979135618479881,1348.152174,6494523.152256771,0.10739337259999998,1.0,0.2567927114,254.39775167844914
BOS_EWR,0.0,178.707,7.0,90.0,3.0,185.0,186.69236717827627,161.1967721,28.0,1.0,0.3751117222,130.06518835461102,0.22580645161290322,5.792072381154739,0.0,0.0,0.4538216560509554,3161.956522,10651924.98619171,0.2909247164,0.0,0.3339635614,168.6315628312957
