route_key,startingAirport,destinationAirport,origin_market,dest_market,route_market_key,N_train,precio_medio_train
JFK_SFO,SFO,JFK,SAN_FRANCISCO,NEW_YORK,NEW_YORK__SAN_FRANCISCO,2974,455.57958641560185
PHL_SFO,PHL,SFO,PHILADELPHIA,SAN_FRANCISCO,PHILADELPHIA__SAN_FRANCISCO,2951,546.7456862080651
DTW_LGA,LGA,DTW,NEW_YORK,DETROIT,DETROIT__NEW_YORK,2939,203.01451173868665
DEN_SFO,SFO,DEN,SAN_FRANCISCO,DENVER,DENVER__SAN_FRANCISCO,2934,322.32865712338105
MIA_PHL,PHL,MIA,PHILADELPHIA,MIAMI,MIAMI__PHILADELPHIA,2934,269.89746080436265
CLT_EWR,CLT,EWR,CHARLOTTE,NEW_YORK,CHARLOTTE__NEW_YORK,2907,241.3730271757826
DEN_LGA,LGA,DEN,NEW_YORK,DENVER,DENVER__NEW_YORK,2868,301.7620606694561
DFW_EWR,EWR,DFW,NEW_YORK,DALLAS_FORT_WORTH,DALLAS_FORT_WORTH__NEW_YORK,2863,289.14756898358365
BOS_JFK,JFK,BOS,NEW_YORK,BOSTON,BOSTON__NEW_YORK,2836,195.23811706629056
ATL_ORD,ATL,ORD,ATLANTA,CHICAGO,ATLANTA__CHICAGO,2824,245.36207152974504
IAD_SFO,SFO,IAD,SAN_FRANCISCO,WASHINGTON,SAN_FRANCISCO__WASHINGTON,2787,520.9417079296735
CLT_JFK,JFK,CLT,NEW_YORK,CHARLOTTE,CHARLOTTE__NEW_YORK,2767,263.44314058547167
ATL_DEN,ATL,DEN,ATLANTA,DENVER,ATLANTA__DENVER,2727,347.50460579391273
DEN_EWR,EWR,DEN,NEW_YORK,DENVER,DENVER__NEW_YORK,2676,367.933389387145
DFW_DTW,DTW,DFW,DETROIT,DALLAS_FORT_WORTH,DALLAS_FORT_WORTH__DETROIT,2666,329.24958364591146
JFK_MIA,MIA,JFK,MIAMI,NEW_YORK,MIAMI__NEW_YORK,2650,226.85151698113208
ATL_EWR,ATL,EWR,ATLANTA,NEW_YORK,ATLANTA__NEW_YORK,2627,221.7863075751808
DEN_MIA,MIA,DEN,MIAMI,DENVER,DENVER__MIAMI,2607,373.54610280015345
DEN_PHL,DEN,PHL,DENVER,PHILADELPHIA,DENVER__PHILADELPHIA,2597,394.1884328070851
