dificultad,N_rutas,N_observaciones,MAE_medio,RMSE_medio,MAPE_medio
Difícil de predecir,112,36293.0,90.35449080128417,136.72119571557397,29.984208390238585
Fácil de predecir,112,36050.0,55.91123598369768,87.01216109911105,25.588170648669387
